-4.1929,2.5171,0.47378,-0.62843,-2.6874,0.28546,0.19107,-0.12726,0.63076,-1.6738,0
-6.6806,2.9697,0.99098,2.4662,2.1155,-0.27363,-0.37134,-0.2127,1.9748,1.5573,0
-0.25967,0.42383,0.089746,0.10335,-0.21026,-0.31418,0.092722,0.26278,0.14146,0.0097724,0
-1.1564,0.84808,-0.25946,-0.41142,-1.4374,-0.43879,0.60772,0.12194,0.44189,0.0050975,0
-0.66666,0.21439,0.041861,-0.12996,-0.36305,-0.39517,0.053495,0.076691,0.39883,-0.37307,0
-0.17517,0.043968,-0.31662,-0.042977,0.12249,-0.2886,-0.040541,0.00096983,-0.24624,-0.068102,0
-1.3412,-1.1629,-0.029398,-0.13513,0.49758,-1.4726,-0.0071518,-0.22057,0.10151,0.074106,0
-0.66152,0.84928,0.28197,0.030402,-0.29475,-0.43598,0.03759,0.28921,0.31687,-0.27684,0
-1.7492,1.7055,0.54523,0.6485,-0.044507,-0.95528,-1.4182,0.74317,-0.0073586,-0.074117,1
-1.0413,0.24681,0.14032,-0.85814,0.47489,-0.45504,0.16817,-0.23299,0.061892,-0.13363,0
-1.5381,0.51017,0.022324,-0.62249,0.2289,-1.4062,0.56946,0.52127,-0.047618,0.1717,0
-1.3218,1.3749,-0.5798,-0.09468,0.92158,-0.48834,0.021287,0.99277,0.35108,-0.3405,0
-1.5469,1.7932,0.62812,-0.060537,-0.17864,-0.42021,0.041147,0.71032,0.28999,-0.056998,0
-1.2858,0.95327,0.41961,-0.76415,0.65428,-0.50564,0.17181,0.21855,-0.20942,-0.095547,0
-1.6766,-0.54419,0.86999,-0.61909,0.22889,-0.90469,-0.11846,-0.13556,0.89848,-0.13088,0
-2.5332,2.1551,0.45953,-0.3689,-1.5634,-0.18882,0.099793,1.0133,-0.18098,-1.5183,0
-1.8552,1.6069,-0.60757,-0.5193,-0.97622,-0.67505,0.84864,0.35531,0.13934,-0.48369,0
-2.1837,1.6666,0.27047,-0.4689,-1.1286,0.078869,-0.0087164,0.39498,-0.07562,-0.7269,0
-2.3487,0.13113,-0.36629,-1.58,0.99049,-1.4876,0.3315,-0.3255,-0.26268,-0.32961,0
-3.9764,0.81383,-0.56941,-0.82292,-0.18263,-2.0406,0.43891,-0.015713,-0.72483,-1.001,0
-1.9123,1.3112,0.32898,-0.93743,0.065182,-0.26842,0.30172,0.54532,-0.56343,-0.81708,0
-2.4874,1.8412,-0.63063,0.13765,-0.1447,-0.72588,-0.047517,0.076443,-0.73455,-0.61249,0
-2.9146,0.53163,0.49182,-0.38562,-0.76436,0.12324,-0.22249,-0.83448,0.64986,-0.0067,0
-3.1393,1.1971,-0.76317,-0.25415,1.0788,-0.17932,0.51332,0.41907,0.95739,-1.3097,0
-4.4355,-0.26347,0.18312,0.16594,-0.29128,-2.1747,-1.7454,0.16245,0.10552,-0.8868,0
-4.109,1.0741,0.092347,-0.39596,1.1034,-2.9853,0.23751,-0.088361,-0.19471,-0.087237,0
-4.8761,-2.4206,0.079611,1.4091,1.9454,-3.0385,0.53869,0.62495,1.4364,1.051,0
-3.0534,3.0548,0.73849,-0.21632,-2.2113,0.47935,0.75202,0.18703,0.9264,0.47018,0
-3.9077,3.3326,0.10658,1.2743,0.097879,0.26456,-0.2523,0.25506,-1.1947,0.81794,0
-3.9427,1.1255,0.50849,-1.8771,0.25411,-1.7046,0.46738,-0.3302,0.08401,-1.2071,0
-5.9903,3.4774,1.1968,3.0846,-2.3548,0.61836,-0.12456,-0.35831,-0.72239,0.55063,0
-2.6776,-0.40194,-0.97336,-1.3355,0.73202,-1.9102,0.61501,-1.0711,-0.34044,-0.61755,0
-3.3699,1.5633,0.12874,-0.5932,-0.15309,1.3003,1.1219,-0.31587,-1.39,0.57214,0
-3.1243,3.095,0.2864,-0.8009,0.81691,-0.19794,0.17021,0.192,-0.17813,0.55322,0
-6.6439,2.8446,-0.053615,-0.20214,2.118,-1.4563,1.1998,0.91225,0.73941,-0.55995,0
-6.5519,2.592,0.50815,-0.15679,1.5415,-2.4892,1.1515,0.52332,-0.81301,-0.13379,0
-5.6685,3.2401,0.067156,0.22091,2.8912,-0.84924,1.118,0.61354,-0.052073,-0.68392,0
-6.0203,-0.61477,1.5248,1.9967,2.697,-2.841,0.8519,0.68586,1.9866,-0.93294,0
-4.9629,0.021594,-0.033921,0.36159,1.1263,0.14848,2.1674,0.13754,1.5891,-1.4666,0
-4.5663,-1.6632,-1.2893,-1.7972,1.4367,-3.0739,1.3125,-1.091,0.015677,-0.218,0
-8.6703,1.6678,0.63979,-0.61406,1.0594,-0.030217,-1.7946,1.6982,0.7411,0.7854,0
-7.2339,2.4589,0.61349,0.39094,2.19,-1.8321,1.5158,0.97377,0.62594,-1.1031,0
-2.0796,2.4739,0.23472,0.86423,0.45094,-1.6743,-0.60195,0.79201,-0.65645,-0.0065528,0
-1.0758,0.81261,-0.25124,-0.14164,-1.3208,-0.30504,0.33799,0.40426,0.12816,-0.63816,0
-4.5683,-1.3066,1.1006,-2.8084,0.3172,-1.3677,-0.10826,0.26651,-0.8749,-0.71606,0
-1.6028,0.19693,-0.2114,-1.0144,0.16834,-1.0831,0.25388,-0.24813,-0.29222,0.047836,0
-5.6702,2.6458,-2.6273,-1.4698,-0.91072,-0.21644,2.0481,0.37507,1.4418,-0.57941,0
-3.8286,-0.3243,1.3101,-0.86236,0.16872,-2.145,-0.31326,0.85439,0.97554,0.72662,0
-2.8852,-1.1818,0.43368,-1.1417,0.24338,-1.3014,0.026838,-0.13574,0.30685,-0.27501,0
-3.1289,-1.0399,-0.28909,-0.94998,0.43622,-1.1813,0.081022,-0.45468,1.3543,-0.41271,0
-1.4198,1.7777,0.80813,-0.19718,-0.10365,-0.52694,0.0086514,0.73139,0.15938,-0.080505,0
-2.472,1.5737,-1.7446,-0.70731,0.90764,-0.31919,0.053739,0.94362,-0.058559,-1.329,0
-2.7616,-0.68689,-2.2812,-0.65576,0.0061006,-0.78441,-0.59132,0.93492,-0.25189,-0.51544,0
-2.0776,1.8079,0.30494,-0.36424,-1.3565,-0.22831,0.047693,0.51244,0.22304,-1.4517,0
-0.57747,0.45629,-0.10362,-0.17846,-0.70619,-0.15634,0.29007,0.19086,0.15086,-0.15752,0
-2.6577,1.1071,-0.22402,-0.031094,-1.7678,-0.79257,-0.59074,0.10645,0.017943,-0.9384,0
-4.1223,-1.5059,1.3063,-0.18935,1.177,0.62135,-0.29869,-1.0513,2.5553,-0.37652,0
-0.60876,-0.18211,-0.31667,0.040145,-0.50813,-0.26732,-0.084581,-0.10955,0.23134,-0.38553,0
-1.9373,1.7946,0.0021553,-0.25284,-2.0246,-0.077881,0.9972,0.19039,0.7916,-0.22088,0
-2.7694,0.81366,1.1823,-0.63863,-0.065885,-0.58247,-0.69368,-0.4576,0.90668,0.66643,0
-3.7135,-0.26283,1.6961,-1.3499,-0.18553,-1.0511,-0.38433,-0.61142,0.65699,-0.76513,0
-2.4212,1.9431,0.0030149,-0.089244,0.027859,-0.79055,-0.66284,0.075501,-0.97066,-1.1367,0
-2.7993,1.2308,-0.42244,-0.50713,-0.3522,-0.79002,-1.6185,0.43048,-1.1004,-0.8152,0
-1.0145,0.45519,-0.0071169,-0.44226,0.64245,-1.0719,0.16335,0.15411,-0.081492,0.12103,0
-2.0336,1.991,0.82029,0.018232,-0.33222,-1.1981,-0.28491,0.75088,0.63325,-0.54012,0
-3.2122,0.41866,0.61136,-0.35114,1.0493,-1.7119,-0.50439,0.35326,-0.1388,0.14223,0
-1.4731,1.8889,0.79922,-0.1606,0.20137,-0.56833,-0.30643,0.6114,0.41708,-0.22973,0
-0.47306,-0.014433,-0.48418,-0.1265,-0.21482,-0.43371,0.025342,-0.054303,-0.18642,-0.16288,0
